Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Fri Dec 15 2023,7:30p,Atlanta Hawks,,Toronto Raptors,,,,,Scotiabank Arena,
Fri Dec 15 2023,8:00p,Houston Rockets,,Memphis Grizzlies,,,,,FedEx Forum,
Fri Dec 15 2023,10:00p,New York Knicks,,Phoenix Suns,,,,,Footprint Center,
Sat Dec 16 2023,6:00p,Detroit Pistons,,Milwaukee Bucks,,,,,Fiserv Forum,
Sat Dec 16 2023,7:00p,Philadelphia 76ers,,Charlotte Hornets,,,,,Spectrum Center,
Sat Dec 16 2023,7:30p,Atlanta Hawks,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Sat Dec 16 2023,8:00p,Chicago Bulls,,Miami Heat,,,,,Kaseya Center,
Sat Dec 16 2023,8:00p,Indiana Pacers,,Minnesota Timberwolves,,,,,Target Center,
Sat Dec 16 2023,8:30p,Brooklyn Nets,,Golden State Warriors,,,,,Chase Center,
Sat Dec 16 2023,9:00p,Oklahoma City Thunder,,Denver Nuggets,,,,,Ball Arena,
Sat Dec 16 2023,9:00p,Dallas Mavericks,,Portland Trail Blazers,,,,,Moda Center,
Sat Dec 16 2023,10:00p,Utah Jazz,,Sacramento Kings,,,,,Golden 1 Center,
Sat Dec 16 2023,10:30p,New York Knicks,,Los Angeles Clippers,,,,,Crypto.com Arena,
Sun Dec 17 2023,3:00p,Orlando Magic,,Boston Celtics,,,,,TD Garden,
Sun Dec 17 2023,3:30p,New Orleans Pelicans,,San Antonio Spurs,,,,,Frost Bank Center,
Sun Dec 17 2023,7:00p,Houston Rockets,,Milwaukee Bucks,,,,,Fiserv Forum,
Sun Dec 17 2023,8:00p,Washington Wizards,,Phoenix Suns,,,,,Footprint Center,
Sun Dec 17 2023,9:00p,Golden State Warriors,,Portland Trail Blazers,,,,,Moda Center,
Mon Dec 18 2023,7:00p,Houston Rockets,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Mon Dec 18 2023,7:00p,Los Angeles Clippers,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Mon Dec 18 2023,7:00p,Chicago Bulls,,Philadelphia 76ers,,,,,Wells Fargo Center,
Mon Dec 18 2023,7:30p,Detroit Pistons,,Atlanta Hawks,,,,,State Farm Arena,
Mon Dec 18 2023,7:30p,Minnesota Timberwolves,,Miami Heat,,,,,Kaseya Center,
Mon Dec 18 2023,7:30p,Charlotte Hornets,,Toronto Raptors,,,,,Scotiabank Arena,
Mon Dec 18 2023,8:00p,Memphis Grizzlies,,Oklahoma City Thunder,,,,,Paycom Center,
Mon Dec 18 2023,9:00p,Dallas Mavericks,,Denver Nuggets,,,,,Ball Arena,
Mon Dec 18 2023,9:00p,Brooklyn Nets,,Utah Jazz,,,,,Delta Center,
Mon Dec 18 2023,10:00p,Washington Wizards,,Sacramento Kings,,,,,Golden 1 Center,
Mon Dec 18 2023,10:30p,New York Knicks,,Los Angeles Lakers,,,,,Crypto.com Arena,
Tue Dec 19 2023,7:30p,Memphis Grizzlies,,New Orleans Pelicans,,,,,Smoothie King Center,
Tue Dec 19 2023,8:00p,San Antonio Spurs,,Milwaukee Bucks,,,,,Fiserv Forum,
Tue Dec 19 2023,10:00p,Boston Celtics,,Golden State Warriors,,,,,Chase Center,
Tue Dec 19 2023,10:00p,Phoenix Suns,,Portland Trail Blazers,,,,,Moda Center,
Wed Dec 20 2023,7:00p,Utah Jazz,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Wed Dec 20 2023,7:00p,Charlotte Hornets,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Wed Dec 20 2023,7:00p,Miami Heat,,Orlando Magic,,,,,Amway Center,
Wed Dec 20 2023,7:00p,Minnesota Timberwolves,,Philadelphia 76ers,,,,,Wells Fargo Center,
Wed Dec 20 2023,7:30p,New York Knicks,,Brooklyn Nets,,,,,Barclays Center,
Wed Dec 20 2023,7:30p,Denver Nuggets,,Toronto Raptors,,,,,Scotiabank Arena,
Wed Dec 20 2023,8:00p,Los Angeles Lakers,,Chicago Bulls,,,,,United Center,
Wed Dec 20 2023,8:00p,Atlanta Hawks,,Houston Rockets,,,,,Toyota Center,
Wed Dec 20 2023,8:30p,Los Angeles Clippers,,Dallas Mavericks,,,,,American Airlines Center,
Wed Dec 20 2023,10:00p,Boston Celtics,,Sacramento Kings,,,,,Golden 1 Center,
Thu Dec 21 2023,7:00p,Utah Jazz,,Detroit Pistons,,,,,Little Caesars Arena,
Thu Dec 21 2023,7:30p,New Orleans Pelicans,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Thu Dec 21 2023,8:00p,San Antonio Spurs,,Chicago Bulls,,,,,United Center,
Thu Dec 21 2023,8:00p,Indiana Pacers,,Memphis Grizzlies,,,,,FedEx Forum,
Thu Dec 21 2023,8:00p,Orlando Magic,,Milwaukee Bucks,,,,,Fiserv Forum,
Thu Dec 21 2023,8:00p,Los Angeles Clippers,,Oklahoma City Thunder,,,,,Paycom Center,
Thu Dec 21 2023,9:00p,Los Angeles Lakers,,Minnesota Timberwolves,,,,,Target Center,
Thu Dec 21 2023,10:00p,Washington Wizards,,Portland Trail Blazers,,,,,Moda Center,
Fri Dec 22 2023,7:00p,Toronto Raptors,,Philadelphia 76ers,,,,,Wells Fargo Center,
Fri Dec 22 2023,7:30p,Denver Nuggets,,Brooklyn Nets,,,,,Barclays Center,
Fri Dec 22 2023,8:00p,Dallas Mavericks,,Houston Rockets,,,,,Toyota Center,
Fri Dec 22 2023,8:00p,Atlanta Hawks,,Miami Heat,,,,,Kaseya Center,
Fri Dec 22 2023,10:00p,Washington Wizards,,Golden State Warriors,,,,,Chase Center,
Fri Dec 22 2023,10:00p,Phoenix Suns,,Sacramento Kings,,,,,Golden 1 Center,
Sat Dec 23 2023,12:30p,Milwaukee Bucks,,New York Knicks,,,,,Madison Square Garden (IV),
Sat Dec 23 2023,3:30p,Boston Celtics,,Los Angeles Clippers,,,,,Crypto.com Arena,
Sat Dec 23 2023,7:00p,Denver Nuggets,,Charlotte Hornets,,,,,Spectrum Center,
Sat Dec 23 2023,7:00p,Orlando Magic,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Sat Dec 23 2023,7:00p,Houston Rockets,,New Orleans Pelicans,,,,,Smoothie King Center,
Sat Dec 23 2023,7:30p,Memphis Grizzlies,,Atlanta Hawks,,,,,State Farm Arena,
Sat Dec 23 2023,7:30p,Detroit Pistons,,Brooklyn Nets,,,,,Barclays Center,
Sat Dec 23 2023,7:30p,Utah Jazz,,Toronto Raptors,,,,,Scotiabank Arena,
Sat Dec 23 2023,8:00p,Cleveland Cavaliers,,Chicago Bulls,,,,,United Center,
Sat Dec 23 2023,8:00p,Los Angeles Lakers,,Oklahoma City Thunder,,,,,Paycom Center,
Sat Dec 23 2023,8:30p,San Antonio Spurs,,Dallas Mavericks,,,,,American Airlines Center,
Sat Dec 23 2023,8:30p,Portland Trail Blazers,,Golden State Warriors,,,,,Chase Center,
Sat Dec 23 2023,10:00p,Minnesota Timberwolves,,Sacramento Kings,,,,,Golden 1 Center,
Mon Dec 25 2023,12:00p,Milwaukee Bucks,,New York Knicks,,,,,Madison Square Garden (IV),
Mon Dec 25 2023,2:30p,Golden State Warriors,,Denver Nuggets,,,,,Ball Arena,
Mon Dec 25 2023,5:00p,Boston Celtics,,Los Angeles Lakers,,,,,Crypto.com Arena,
Mon Dec 25 2023,8:00p,Philadelphia 76ers,,Miami Heat,,,,,Kaseya Center,
Mon Dec 25 2023,10:30p,Dallas Mavericks,,Phoenix Suns,,,,,Footprint Center,
Tue Dec 26 2023,7:00p,Brooklyn Nets,,Detroit Pistons,,,,,Little Caesars Arena,
Tue Dec 26 2023,7:00p,Orlando Magic,,Washington Wizards,,,,,Capital One Arena,
Tue Dec 26 2023,8:00p,Atlanta Hawks,,Chicago Bulls,,,,,United Center,
Tue Dec 26 2023,8:00p,Indiana Pacers,,Houston Rockets,,,,,Toyota Center,
Tue Dec 26 2023,8:00p,Memphis Grizzlies,,New Orleans Pelicans,,,,,Smoothie King Center,
Tue Dec 26 2023,8:00p,Minnesota Timberwolves,,Oklahoma City Thunder,,,,,Paycom Center,
Tue Dec 26 2023,8:00p,Utah Jazz,,San Antonio Spurs,,,,,Frost Bank Center,
Tue Dec 26 2023,10:00p,Sacramento Kings,,Portland Trail Blazers,,,,,Moda Center,
Tue Dec 26 2023,10:30p,Charlotte Hornets,,Los Angeles Clippers,,,,,Crypto.com Arena,
Wed Dec 27 2023,7:00p,Philadelphia 76ers,,Orlando Magic,,,,,Amway Center,
Wed Dec 27 2023,7:00p,Toronto Raptors,,Washington Wizards,,,,,Capital One Arena,
Wed Dec 27 2023,7:30p,Milwaukee Bucks,,Brooklyn Nets,,,,,Barclays Center,
Wed Dec 27 2023,8:00p,Phoenix Suns,,Houston Rockets,,,,,Toyota Center,
Wed Dec 27 2023,8:00p,New York Knicks,,Oklahoma City Thunder,,,,,Paycom Center,
