Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Tue Apr 23 2019,10:30p,Oklahoma City Thunder,115,Portland Trail Blazers,118,Box Score,,20241,Moda Center,
Wed Apr 24 2019,8:00p,Utah Jazz,93,Houston Rockets,100,Box Score,,18055,Toyota Center,
Wed Apr 24 2019,10:30p,Los Angeles Clippers,129,Golden State Warriors,121,Box Score,,19596,Oracle Arena,
Thu Apr 25 2019,8:00p,Denver Nuggets,103,San Antonio Spurs,120,Box Score,,18354,AT&T Center,
Fri Apr 26 2019,10:00p,Golden State Warriors,129,Los Angeles Clippers,110,Box Score,,19068,STAPLES Center,
Sat Apr 27 2019,7:30p,Philadelphia 76ers,95,Toronto Raptors,108,Box Score,,19800,Scotiabank Arena,
Sat Apr 27 2019,10:00p,San Antonio Spurs,86,Denver Nuggets,90,Box Score,,19725,Pepsi Center,
Sun Apr 28 2019,1:00p,Boston Celtics,112,Milwaukee Bucks,90,Box Score,,17561,Fiserv Forum,
Sun Apr 28 2019,3:30p,Houston Rockets,100,Golden State Warriors,104,Box Score,,19596,Oracle Arena,
Mon Apr 29 2019,8:00p,Philadelphia 76ers,94,Toronto Raptors,89,Box Score,,19800,Scotiabank Arena,
Mon Apr 29 2019,10:30p,Portland Trail Blazers,113,Denver Nuggets,121,Box Score,,19520,Pepsi Center,
Tue Apr 30 2019,8:00p,Boston Celtics,102,Milwaukee Bucks,123,Box Score,,17536,Fiserv Forum,
Tue Apr 30 2019,10:30p,Houston Rockets,109,Golden State Warriors,115,Box Score,,19596,Oracle Arena,
