Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Wed Feb 13 2019,7:00p,Brooklyn Nets,148,Cleveland Cavaliers,139,Box Score,3OT,17434,Quicken Loans Arena,
Wed Feb 13 2019,7:00p,Milwaukee Bucks,106,Indiana Pacers,97,Box Score,,17311,Bankers Life Fieldhouse,
Wed Feb 13 2019,7:30p,Detroit Pistons,110,Boston Celtics,118,Box Score,,18624,TD Garden,
Wed Feb 13 2019,7:30p,Philadelphia 76ers,126,New York Knicks,111,Box Score,,18983,Madison Square Garden (IV),
Wed Feb 13 2019,7:30p,Washington Wizards,120,Toronto Raptors,129,Box Score,,19800,Scotiabank Arena,
Wed Feb 13 2019,8:00p,Memphis Grizzlies,110,Chicago Bulls,122,Box Score,,19114,United Center,
Wed Feb 13 2019,8:00p,Houston Rockets,111,Minnesota Timberwolves,121,Box Score,,15131,Target Center,
Wed Feb 13 2019,8:30p,Miami Heat,112,Dallas Mavericks,101,Box Score,,20364,American Airlines Center,
Wed Feb 13 2019,9:00p,Sacramento Kings,118,Denver Nuggets,120,Box Score,,17938,Pepsi Center,
Wed Feb 13 2019,10:30p,Phoenix Suns,107,Los Angeles Clippers,134,Box Score,,17703,STAPLES Center,
Wed Feb 13 2019,10:30p,Golden State Warriors,107,Portland Trail Blazers,129,Box Score,,19549,Moda Center,
Thu Feb 14 2019,7:00p,Charlotte Hornets,89,Orlando Magic,127,Box Score,,18846,Amway Center,
Thu Feb 14 2019,7:30p,New York Knicks,106,Atlanta Hawks,91,Box Score,,14179,State Farm Arena,
Thu Feb 14 2019,8:00p,Oklahoma City Thunder,122,New Orleans Pelicans,131,Box Score,,15686,Smoothie King Center,
Thu Feb 21 2019,7:00p,Phoenix Suns,98,Cleveland Cavaliers,111,Box Score,,19022,Quicken Loans Arena,
Thu Feb 21 2019,7:00p,Miami Heat,102,Philadelphia 76ers,106,Box Score,,20505,Wells Fargo Center,
Thu Feb 21 2019,7:30p,Portland Trail Blazers,113,Brooklyn Nets,99,Box Score,,17732,Barclays Center,
Thu Feb 21 2019,8:00p,Boston Celtics,97,Milwaukee Bucks,98,Box Score,,17926,Fiserv Forum,
Thu Feb 21 2019,10:30p,Sacramento Kings,123,Golden State Warriors,125,Box Score,,19596,Oracle Arena,
Thu Feb 21 2019,10:30p,Houston Rockets,106,Los Angeles Lakers,111,Box Score,,18997,STAPLES Center,
Fri Feb 22 2019,7:00p,Washington Wizards,110,Charlotte Hornets,123,Box Score,,15572,Spectrum Center,
Fri Feb 22 2019,7:00p,New Orleans Pelicans,111,Indiana Pacers,126,Box Score,,16962,Bankers Life Fieldhouse,
Fri Feb 22 2019,7:00p,Chicago Bulls,110,Orlando Magic,109,Box Score,,18846,Amway Center,
Fri Feb 22 2019,7:00p,San Antonio Spurs,117,Toronto Raptors,120,Box Score,,20058,Scotiabank Arena,
Fri Feb 22 2019,7:30p,Detroit Pistons,125,Atlanta Hawks,122,Box Score,,14067,State Farm Arena,
Fri Feb 22 2019,7:30p,Minnesota Timberwolves,115,New York Knicks,104,Box Score,,19096,Madison Square Garden (IV),
Fri Feb 22 2019,8:00p,Los Angeles Clippers,112,Memphis Grizzlies,106,Box Score,,16444,FedEx Forum,
Fri Feb 22 2019,8:30p,Denver Nuggets,114,Dallas Mavericks,104,Box Score,,20382,American Airlines Center,
Fri Feb 22 2019,9:30p,Utah Jazz,147,Oklahoma City Thunder,148,Box Score,2OT,18203,Chesapeake Energy Arena,
Sat Feb 23 2019,1:00p,Portland Trail Blazers,130,Philadelphia 76ers,115,Box Score,,20619,Wells Fargo Center,
Sat Feb 23 2019,7:00p,Phoenix Suns,112,Atlanta Hawks,120,Box Score,,15214,State Farm Arena,
Sat Feb 23 2019,7:00p,Brooklyn Nets,117,Charlotte Hornets,115,Box Score,,19158,Spectrum Center,
Sat Feb 23 2019,7:00p,Memphis Grizzlies,107,Cleveland Cavaliers,112,Box Score,,19432,Quicken Loans Arena,
Sat Feb 23 2019,7:00p,Los Angeles Lakers,115,New Orleans Pelicans,128,Box Score,,18626,Smoothie King Center,
Sat Feb 23 2019,7:00p,Indiana Pacers,119,Washington Wizards,112,Box Score,,19648,Capital One Arena,
Sat Feb 23 2019,7:30p,Detroit Pistons,119,Miami Heat,96,Box Score,,19600,AmericanAirlines Arena,
Sat Feb 23 2019,8:00p,Boston Celtics,116,Chicago Bulls,126,Box Score,,21295,United Center,
Sat Feb 23 2019,8:00p,Sacramento Kings,119,Oklahoma City Thunder,116,Box Score,,18203,Chesapeake Energy Arena,
Sat Feb 23 2019,8:30p,Houston Rockets,118,Golden State Warriors,112,Box Score,,19596,Oracle Arena,
Sat Feb 23 2019,8:30p,Minnesota Timberwolves,128,Milwaukee Bucks,140,Box Score,,17972,Fiserv Forum,
Sat Feb 23 2019,10:00p,Dallas Mavericks,109,Utah Jazz,125,Box Score,,18306,Vivint Smart Home Arena,
Sun Feb 24 2019,3:30p,Orlando Magic,113,Toronto Raptors,98,Box Score,,19800,Scotiabank Arena,
Sun Feb 24 2019,5:00p,Los Angeles Clippers,96,Denver Nuggets,123,Box Score,,19956,Pepsi Center,
Sun Feb 24 2019,7:30p,San Antonio Spurs,118,New York Knicks,130,Box Score,,18019,Madison Square Garden (IV),
Mon Feb 25 2019,7:00p,Golden State Warriors,121,Charlotte Hornets,110,Box Score,,19419,Spectrum Center,
Mon Feb 25 2019,7:00p,Portland Trail Blazers,123,Cleveland Cavaliers,110,Box Score,,19432,Quicken Loans Arena,
Mon Feb 25 2019,7:00p,Indiana Pacers,109,Detroit Pistons,113,Box Score,,15321,Little Caesars Arena,
Mon Feb 25 2019,7:30p,San Antonio Spurs,85,Brooklyn Nets,101,Box Score,,13479,Barclays Center,
Mon Feb 25 2019,7:30p,Phoenix Suns,124,Miami Heat,121,Box Score,,19600,AmericanAirlines Arena,
Mon Feb 25 2019,8:00p,Milwaukee Bucks,117,Chicago Bulls,106,Box Score,,20936,United Center,
Mon Feb 25 2019,8:00p,Atlanta Hawks,111,Houston Rockets,119,Box Score,,18055,Toyota Center,
Mon Feb 25 2019,8:00p,Los Angeles Lakers,105,Memphis Grizzlies,110,Box Score,,17794,FedEx Forum,
Mon Feb 25 2019,8:00p,Sacramento Kings,105,Minnesota Timberwolves,112,Box Score,,13691,Target Center,
Mon Feb 25 2019,8:00p,Philadelphia 76ers,111,New Orleans Pelicans,110,Box Score,,17194,Smoothie King Center,
Mon Feb 25 2019,10:30p,Dallas Mavericks,112,Los Angeles Clippers,121,Box Score,,19068,STAPLES Center,
Tue Feb 26 2019,7:30p,Orlando Magic,103,New York Knicks,108,Box Score,,17833,Madison Square Garden (IV),
Tue Feb 26 2019,8:00p,Boston Celtics,95,Toronto Raptors,118,Box Score,,19800,Scotiabank Arena,
Tue Feb 26 2019,10:30p,Oklahoma City Thunder,112,Denver Nuggets,121,Box Score,,18378,Pepsi Center,
Wed Feb 27 2019,7:00p,Houston Rockets,118,Charlotte Hornets,113,Box Score,,17903,Spectrum Center,
Wed Feb 27 2019,7:30p,Minnesota Timberwolves,123,Atlanta Hawks,131,Box Score,OT,14101,State Farm Arena,
Wed Feb 27 2019,7:30p,Washington Wizards,125,Brooklyn Nets,116,Box Score,,13683,Barclays Center,
Wed Feb 27 2019,7:30p,Golden State Warriors,125,Miami Heat,126,Box Score,,19647,AmericanAirlines Arena,
Wed Feb 27 2019,8:00p,Portland Trail Blazers,97,Boston Celtics,92,Box Score,,18624,TD Garden,
Wed Feb 27 2019,8:00p,Chicago Bulls,109,Memphis Grizzlies,107,Box Score,,13711,FedEx Forum,
Wed Feb 27 2019,8:30p,Indiana Pacers,101,Dallas Mavericks,110,Box Score,,19978,American Airlines Center,
Wed Feb 27 2019,8:30p,Detroit Pistons,93,San Antonio Spurs,105,Box Score,,18354,AT&T Center,
Wed Feb 27 2019,9:00p,Los Angeles Clippers,105,Utah Jazz,111,Box Score,,18306,Vivint Smart Home Arena,
Wed Feb 27 2019,10:00p,Milwaukee Bucks,141,Sacramento Kings,140,Box Score,OT,17583,Golden 1 Center,
Wed Feb 27 2019,10:30p,New Orleans Pelicans,119,Los Angeles Lakers,125,Box Score,,18997,STAPLES Center,
Thu Feb 28 2019,7:00p,Minnesota Timberwolves,115,Indiana Pacers,122,Box Score,,17003,Bankers Life Fieldhouse,
Thu Feb 28 2019,7:00p,Golden State Warriors,96,Orlando Magic,103,Box Score,,18846,Amway Center,
Thu Feb 28 2019,7:30p,Cleveland Cavaliers,125,New York Knicks,118,Box Score,,17573,Madison Square Garden (IV),
Thu Feb 28 2019,8:00p,Miami Heat,118,Houston Rockets,121,Box Score,,18119,Toyota Center,
Thu Feb 28 2019,8:00p,Philadelphia 76ers,108,Oklahoma City Thunder,104,Box Score,,18203,Chesapeake Energy Arena,
Thu Feb 28 2019,10:30p,Utah Jazz,111,Denver Nuggets,104,Box Score,,19520,Pepsi Center,
