Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Fri Nov 18 2022,7:00p,Miami Heat,106,Washington Wizards,107,Box Score,OT,18772,Capital One Arena,
Fri Nov 18 2022,7:30p,Charlotte Hornets,122,Cleveland Cavaliers,132,Box Score,2OT,19432,Rocket Mortgage Fieldhouse,
Fri Nov 18 2022,7:30p,Milwaukee Bucks,102,Philadelphia 76ers,110,Box Score,,19769,Wells Fargo Center,
Fri Nov 18 2022,8:00p,Orlando Magic,108,Chicago Bulls,107,Box Score,,21031,United Center,
Fri Nov 18 2022,8:00p,Indiana Pacers,99,Houston Rockets,91,Box Score,,15882,Toyota Center,
Fri Nov 18 2022,8:00p,Oklahoma City Thunder,110,Memphis Grizzlies,121,Box Score,,17324,FedEx Forum,
Fri Nov 18 2022,8:30p,Denver Nuggets,99,Dallas Mavericks,127,Box Score,,20135,American Airlines Center,
Fri Nov 18 2022,8:30p,Boston Celtics,117,New Orleans Pelicans,109,Box Score,,17828,Smoothie King Center,
Fri Nov 18 2022,9:00p,Phoenix Suns,133,Utah Jazz,134,Box Score,,18206,Vivint Arena,
Fri Nov 18 2022,10:00p,New York Knicks,101,Golden State Warriors,111,Box Score,,18064,Chase Center,
Fri Nov 18 2022,10:30p,Detroit Pistons,121,Los Angeles Lakers,128,Box Score,,18095,Crypto.com Arena,
Sat Nov 19 2022,6:00p,Toronto Raptors,122,Atlanta Hawks,124,Box Score,OT,18051,State Farm Arena,
Sat Nov 19 2022,7:00p,Orlando Magic,113,Indiana Pacers,114,Box Score,,14478,Gainbridge Fieldhouse,
Sat Nov 19 2022,7:30p,Minnesota Timberwolves,112,Philadelphia 76ers,109,Box Score,,20515,Wells Fargo Center,
Sat Nov 19 2022,10:00p,Utah Jazz,118,Portland Trail Blazers,113,Box Score,,19595,Moda Center,
Sat Nov 19 2022,10:30p,San Antonio Spurs,97,Los Angeles Clippers,119,Box Score,,18581,Crypto.com Arena,
Sun Nov 20 2022,3:30p,New York Knicks,95,Phoenix Suns,116,Box Score,,17071,Footprint Center,
Sun Nov 20 2022,6:00p,Detroit Pistons,129,Sacramento Kings,137,Box Score,,17866,Golden 1 Center,
Sun Nov 20 2022,6:00p,Charlotte Hornets,102,Washington Wizards,106,Box Score,,14289,Capital One Arena,
Sun Nov 20 2022,7:00p,Memphis Grizzlies,115,Brooklyn Nets,127,Box Score,,18241,Barclays Center,
Sun Nov 20 2022,7:00p,Miami Heat,87,Cleveland Cavaliers,113,Box Score,,19432,Rocket Mortgage Fieldhouse,
Sun Nov 20 2022,7:00p,Golden State Warriors,127,Houston Rockets,120,Box Score,,18055,Toyota Center,
Sun Nov 20 2022,7:30p,Denver Nuggets,98,Dallas Mavericks,97,Box Score,,20244,American Airlines Center,
Sun Nov 20 2022,9:30p,San Antonio Spurs,92,Los Angeles Lakers,123,Box Score,,18211,Crypto.com Arena,
Mon Nov 21 2022,7:00p,Atlanta Hawks,102,Cleveland Cavaliers,114,Box Score,,19432,Rocket Mortgage Fieldhouse,
Mon Nov 21 2022,7:00p,Orlando Magic,102,Indiana Pacers,123,Box Score,,14029,Gainbridge Fieldhouse,
Mon Nov 21 2022,8:00p,Boston Celtics,107,Chicago Bulls,121,Box Score,,20786,United Center,
Mon Nov 21 2022,8:00p,Portland Trail Blazers,111,Milwaukee Bucks,119,Box Score,,17341,Fiserv Forum,
Mon Nov 21 2022,8:00p,Miami Heat,101,Minnesota Timberwolves,105,Box Score,,16583,Target Center,
Mon Nov 21 2022,8:00p,Golden State Warriors,83,New Orleans Pelicans,128,Box Score,,18589,Smoothie King Center,
Mon Nov 21 2022,8:00p,New York Knicks,129,Oklahoma City Thunder,119,Box Score,,15079,Paycom Center,
Mon Nov 21 2022,10:30p,Utah Jazz,114,Los Angeles Clippers,121,Box Score,,19068,Crypto.com Arena,
Tue Nov 22 2022,7:30p,Brooklyn Nets,106,Philadelphia 76ers,115,Box Score,,20184,Wells Fargo Center,
Tue Nov 22 2022,8:00p,Sacramento Kings,113,Memphis Grizzlies,109,Box Score,,16826,FedEx Forum,
Tue Nov 22 2022,9:00p,Detroit Pistons,110,Denver Nuggets,108,Box Score,,19635,Ball Arena,
Tue Nov 22 2022,10:00p,Los Angeles Lakers,105,Phoenix Suns,115,Box Score,,17071,Footprint Center,
Wed Nov 23 2022,7:00p,Philadelphia 76ers,101,Charlotte Hornets,107,Box Score,,16910,Spectrum Center,
Wed Nov 23 2022,7:00p,Portland Trail Blazers,96,Cleveland Cavaliers,114,Box Score,,19432,Rocket Mortgage Fieldhouse,
Wed Nov 23 2022,7:00p,Minnesota Timberwolves,115,Indiana Pacers,101,Box Score,,15751,Gainbridge Fieldhouse,
