Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Thu May 13 2021,7:00p,Los Angeles Clippers,113,Charlotte Hornets,90,Box Score,,4442,Spectrum Center,
Thu May 13 2021,7:00p,Milwaukee Bucks,142,Indiana Pacers,133,Box Score,,,Bankers Life Fieldhouse,
Thu May 13 2021,7:30p,Orlando Magic,93,Atlanta Hawks,116,Box Score,,2910,State Farm Arena,
Thu May 13 2021,7:30p,Philadelphia 76ers,94,Miami Heat,106,Box Score,,0,AmericanAirlines Arena,
Thu May 13 2021,7:30p,San Antonio Spurs,98,New York Knicks,102,Box Score,,1981,Madison Square Garden (IV),
Thu May 13 2021,8:00p,Toronto Raptors,102,Chicago Bulls,114,Box Score,,3395,United Center,
Thu May 13 2021,8:00p,Sacramento Kings,110,Memphis Grizzlies,116,Box Score,,2876,FedEx Forum,
Thu May 13 2021,8:00p,Denver Nuggets,114,Minnesota Timberwolves,103,Box Score,,1638,Target Center,
Thu May 13 2021,10:00p,Portland Trail Blazers,117,Phoenix Suns,118,Box Score,,8359,Phoenix Suns Arena,
Fri May 14 2021,7:00p,Cleveland Cavaliers,105,Washington Wizards,120,Box Score,,5333,Capital One Arena,
Fri May 14 2021,8:00p,Denver Nuggets,104,Detroit Pistons,91,Box Score,,750,Little Caesars Arena,
Fri May 14 2021,8:00p,Utah Jazz,109,Oklahoma City Thunder,93,Box Score,,0,Chesapeake Energy Arena,
Fri May 14 2021,8:00p,Orlando Magic,97,Philadelphia 76ers,122,Box Score,,5119,Wells Fargo Center,
Fri May 14 2021,9:00p,Toronto Raptors,110,Dallas Mavericks,114,Box Score,,4493,American Airlines Center,
Fri May 14 2021,9:00p,Los Angeles Clippers,115,Houston Rockets,122,Box Score,,3803,Toyota Center,
Fri May 14 2021,9:00p,Sacramento Kings,106,Memphis Grizzlies,107,Box Score,,3502,FedEx Forum,
Fri May 14 2021,9:30p,New Orleans Pelicans,122,Golden State Warriors,125,Box Score,,4155,Chase Center,
Sat May 15 2021,1:00p,Chicago Bulls,91,Brooklyn Nets,105,Box Score,,1773,Barclays Center,
Sat May 15 2021,1:00p,Los Angeles Lakers,122,Indiana Pacers,115,Box Score,,0,Bankers Life Fieldhouse,
Sat May 15 2021,1:00p,Charlotte Hornets,109,New York Knicks,118,Box Score,OT,1981,Madison Square Garden (IV),
Sat May 15 2021,2:00p,Boston Celtics,124,Minnesota Timberwolves,108,Box Score,,1638,Target Center,
Sat May 15 2021,2:00p,Phoenix Suns,140,San Antonio Spurs,103,Box Score,,4848,AT&T Center,
Sat May 15 2021,8:00p,Miami Heat,108,Milwaukee Bucks,122,Box Score,,3280,Fiserv Forum,
Sun May 16 2021,1:00p,Boston Celtics,92,New York Knicks,96,Box Score,,1981,Madison Square Garden (IV),
Sun May 16 2021,1:00p,Indiana Pacers,125,Toronto Raptors,113,Box Score,,0,Amalie Arena,
Sun May 16 2021,1:00p,Charlotte Hornets,110,Washington Wizards,115,Box Score,,5333,Capital One Arena,
Sun May 16 2021,2:00p,Phoenix Suns,123,San Antonio Spurs,121,Box Score,,4738,AT&T Center,
Sun May 16 2021,3:30p,Memphis Grizzlies,101,Golden State Warriors,113,Box Score,,4416,Chase Center,
Sun May 16 2021,7:00p,Houston Rockets,95,Atlanta Hawks,124,Box Score,,3045,State Farm Arena,
Sun May 16 2021,7:00p,Cleveland Cavaliers,109,Brooklyn Nets,123,Box Score,,1773,Barclays Center,
Sun May 16 2021,7:00p,Orlando Magic,117,Philadelphia 76ers,128,Box Score,,5119,Wells Fargo Center,
Sun May 16 2021,8:00p,Miami Heat,120,Detroit Pistons,107,Box Score,,750,Little Caesars Arena,
Sun May 16 2021,9:00p,Milwaukee Bucks,112,Chicago Bulls,118,Box Score,,3427,United Center,
Sun May 16 2021,9:00p,Dallas Mavericks,121,Minnesota Timberwolves,136,Box Score,,1638,Target Center,
Sun May 16 2021,9:00p,Los Angeles Lakers,110,New Orleans Pelicans,98,Box Score,,3700,Smoothie King Center,
Sun May 16 2021,9:00p,Los Angeles Clippers,112,Oklahoma City Thunder,117,Box Score,,0,Chesapeake Energy Arena,
Sun May 16 2021,9:00p,Denver Nuggets,116,Portland Trail Blazers,132,Box Score,,1939,Moda Center,
Sun May 16 2021,9:00p,Utah Jazz,121,Sacramento Kings,99,Box Score,,0,Golden 1 Center,
Tue May 18 2021,6:30p,Charlotte Hornets,117,Indiana Pacers,144,Box Score,,0,Bankers Life Fieldhouse,Play-In Game
Tue May 18 2021,9:00p,Washington Wizards,100,Boston Celtics,118,Box Score,,4789,TD Garden,Play-In Game
